,Clean,Opus 16k,Opus 32k,Opus 64k,MP3 64k,MP3 128k,AAC 128k
"A0 (RawNet2, no aug.)",1.0,6.139357931003876,2.4798811034360346,1.0071819310283596,3.735624275837581,3.7974078620506018,1.0517241379310334
A1 (RawNet2 + codec aug.),1.0,2.9621410332074904,1.652560182452855,0.9621410332074903,1.603568388679147,1.534522796226384,1.0155933128301236
B0 (statistical stream),1.0,2.446152944265197,1.5369819016404604,1.1008873311483225,1.7905322032797861,1.7073963803280925,1.0050291868865298
"C1 (fusion, attention)",1.0,2.9397333399488863,1.6246598891360795,0.9863050881096018,2.098630508810965,2.0054870124895205,1.098630508810965
"C2 (fusion, concat)",1.0,2.6973388850878357,1.4527893439329989,0.9418884262426793,1.9467377208702155,1.8426178194811407,1.0460083276317602
