condition,a0_eer_pct,a1_eer_pct,relative_reduction_pct,n01_a1_correct_a0_wrong,n10_a1_wrong_a0_correct,chi2,p_value
clean,1.5446786759295852,0.9964922413907226,35.48870344888816,216,114,30.91212121212121,2.6998028812563746e-08
opus_16,9.483335279920864,2.951750557496363,68.87434145931626,1474,247,873.3736199883789,0.0
opus_32,3.8306194593183727,1.646763400245507,57.0105196369849,608,197,208.8198757763975,0.0
opus_64,1.5557724516410891,0.9587660747149176,38.373630815767825,218,108,36.44478527607362,1.5705274858390792e-09
mp3_64,5.77033916017121,1.5979434578581926,72.30763368490145,966,183,532.2228024369017,0.0
mp3_128,5.865774948316921,1.5291400606767886,73.9311502035115,988,175,566.9337919174549,0.0
aac_128,1.6245758488224933,1.0120308566435192,37.70491803278696,230,115,37.6695652173913,8.38019098559073e-10
