,Clean,Opus 16k,Opus 32k,Opus 64k,MP3 64k,MP3 128k,AAC 128k
"A0 (RawNet2, no aug.)",1.5446786759295852,9.483335279920865,3.8306194593183727,1.5557724516410893,5.77033916017121,5.865774948316921,1.6245758488224933
A1 (RawNet2 + codec aug.),0.9964922413907226,2.951750557496363,1.646763400245507,0.9587660747149177,1.5979434578581926,1.5291400606767886,1.0120308566435192
B0 (statistical stream),7.501444572850918,18.349680728121456,11.529584544630916,8.258245295562915,13.431578078807949,12.80793931091747,7.539170739526729
"C1 (fusion, attention)",0.8100655046406002,2.381376571534492,1.3160809329623597,0.7989717289290963,1.7000281821741139,1.6245758488224933,0.8899626775335137
"C2 (fusion, concat)",0.9165950684978146,2.4723675201389037,1.3316195482151623,0.8633302865692074,1.7843701946083146,1.68893440646261,0.9587660747149177
