,Clean,Opus 16k,Opus 32k,Opus 64k,MP3 64k,MP3 128k,AAC 128k
"A0 (RawNet2, no aug.)",0.0780890636783672,0.5328847037700614,0.2021061760455659,0.07435286464585457,0.55423319363201,0.5664643646180202,0.08070758311118001
A1 (RawNet2 + codec aug.),0.0767089001434266,0.1727284815216552,0.08348224416479218,0.07187701384717621,0.10245570955260305,0.09446686046971277,0.07907071218205762
B0 (statistical stream),0.38104095335161414,0.8881160738371903,0.6163329023414669,0.3689753317001022,1.3311000155073913,1.3028313315739677,0.3805319675300961
"C1 (fusion, attention)",0.04283071166862802,0.11933764547177346,0.06082063675687312,0.042445306188571424,0.1260085359167008,0.11911388079097454,0.04458789805240396
"C2 (fusion, concat)",0.05096893129016114,0.12140148861588905,0.06035285710207608,0.04591000405824163,0.1305821688640945,0.1239956603144976,0.052787640096439804
