,Clean,Opus 16k,Opus 32k,Opus 64k,MP3 64k,MP3 128k,AAC 128k
"A0 (RawNet2, no aug.)",0.03953132595237784,0.22627626356385339,0.0921632537549436,0.03973246912727939,0.1593003361528117,0.16129355115253738,0.040303335473791474
A1 (RawNet2 + codec aug.),0.02675353766670511,0.07644255257677746,0.04169762253098627,0.025607198181209583,0.042890766413279324,0.03954064474761817,0.026575744085053407
B0 (statistical stream),0.1555235264411209,0.4867981125509028,0.2826754718622744,0.18013882912523663,0.3500175677554317,0.3293746642727581,0.15853198653119055
"C1 (fusion, attention)",0.019122339243393797,0.061736886068359774,0.032578633467182955,0.02011894674325665,0.04284867401925078,0.04121575818559766,0.01993644115883597
"C2 (fusion, concat)",0.020886244261901304,0.06285998117090309,0.03465132125219635,0.02064761548544278,0.04546406134446003,0.04285338602201996,0.021733119776131488
